"player_page","player"
"/w/index.php?title=Robert_Kidston_(tennis)&action=edit&redlink=1","R Kidston"
"/w/index.php?title=F_Peach&action=edit&redlink=1","F Peach"
"/wiki/James_Anderson_(tennis)","J Anderson"
"/w/index.php?title=J_O%27Ryan&action=edit&redlink=1","J ORyan"
"/wiki/Jack_Clemenger","J Clemenger"
"/w/index.php?title=G_Booth&action=edit&redlink=1","G Booth"
"/w/index.php?title=R_Berriman&action=edit&redlink=1","R Berriman"
"/w/index.php?title=S_Henderson&action=edit&redlink=1","S Henderson"
"/w/index.php?title=T_Carr&action=edit&redlink=1","T Carr"
"/wiki/Pat_O%27Hara_Wood","P OHara Wood"
"/w/index.php?title=C_Cross&action=edit&redlink=1","C Cross"
"/w/index.php?title=A_Best_(tennis)&action=edit&redlink=1","A Best"
"/w/index.php?title=R_Neil&action=edit&redlink=1","R Neil"
"/w/index.php?title=H_Kirkpatrick&action=edit&redlink=1","H Kirkpatrick"
"/w/index.php?title=L_Scott&action=edit&redlink=1","L Scott"
"/w/index.php?title=Leonard_Darby&action=edit&redlink=1","L Darby"
"/wiki/Gerald_Patterson","G Patterson"
"/wiki/Roy_Taylor_(tennis)","AR Taylor"
"/w/index.php?title=L_Todd&action=edit&redlink=1","L Todd"
"/wiki/Garton_Hone","G Hone"
"/wiki/Cecil_Stuart","C Stuart"
"/wiki/Rhys_Gemmell","Rice Gemmell"
"/w/index.php?title=E._Barker_(tennis)&action=edit&redlink=1","E Barker"
"/wiki/Clarence_Treloar","Clarence Treloar"
"/w/index.php?title=N._Brearley&action=edit&redlink=1","N Brearley"
"/wiki/Keith_McDougall","Keith McDougall"
"/w/index.php?title=W._Hayman&action=edit&redlink=1","W Hayman"
"/wiki/Rhys_Gemmell","R T H Gemmell"
"/wiki/Clarence_Treloar","C L Treloar"
"/wiki/Alf_Hedeman","A H Hedeman"
"/wiki/Keith_McDougall","K A McDougall"
"/w/index.php?title=W._Dive&action=edit&redlink=1","W Dive"
"/wiki/Norman_Peach","Norman Peach"
"/wiki/Jack_Clemenger","Jack Clemenger"
"/wiki/Jack_Hawkes_(tennis)","Jack Hawkes"
"/w/index.php?title=A._Huthnance&action=edit&redlink=1","A Huthnance"
"/w/index.php?title=E._L._Jones&action=edit&redlink=1","E L Jones"
"/wiki/James_Anderson_(tennis)","Anderson"
"/w/index.php?title=A._North&action=edit&redlink=1","North"
"/w/index.php?title=W._Sheehan&action=edit&redlink=1","Sheehan"
"/wiki/Rhys_Gemmell","Gemmell"
"/w/index.php?title=A._Lawrie&action=edit&redlink=1","Lawrie"
"/w/index.php?title=W._Dive&action=edit&redlink=1","Dive"
"/w/index.php?title=K._Poulton&action=edit&redlink=1","Poulton"
"/w/index.php?title=W._Goodman&action=edit&redlink=1","Goodman"
"/wiki/James_Willard","J Willard"
"/wiki/Norman_Peach","Peach"
"/w/index.php?title=Edward_Jordan_(tennis)&action=edit&redlink=1","Jordan"
"/wiki/Rupert_Wertheim","Wertheim"
"/w/index.php?title=A._Jencken&action=edit&redlink=1","Jencken"
"/wiki/Jack_Clemenger","Clemenger"
"/w/index.php?title=T._Cummings&action=edit&redlink=1","T Cummings"
"/w/index.php?title=T._Varley&action=edit&redlink=1","Varley"
"/w/index.php?title=H._Utz&action=edit&redlink=1","Utz"
"/wiki/Jack_Hawkes_(tennis)","Hawkes"
"/w/index.php?title=R._Goodman&action=edit&redlink=1","Goodman"
"/w/index.php?title=P._Sandrai&action=edit&redlink=1","Sandrai"
"/w/index.php?title=K._Buchanan&action=edit&redlink=1","Buchanan"
"/w/index.php?title=I._Baker&action=edit&redlink=1","Baker"
"/w/index.php?title=S._Henderson&action=edit&redlink=1","Henderson"
"/w/index.php?title=A._Huthnance&action=edit&redlink=1","Huthnance"
"/wiki/Aubrey_Willard","A Willard"
"/w/index.php?title=J._Fitzgerald&action=edit&redlink=1","Fitzgerald"
