"player_page","player"
"/wiki/Henry_Norman_Marrett","N Marrett"
"/wiki/George_Greville_(tennis)","GL Orme"
"/wiki/Anthony_Wilding","Anthony Wilding"
"/wiki/Anthony_Wilding","A Wilding"
"/wiki/Rolf_Kinzl","Rolf Kinzl"
"/wiki/Charles_Brown_(tennis)","Charles Brown"
"/wiki/Alfred_Beamish","Alfred Beamish"
"/wiki/Alfred_Beamish","A Beamish"
"/wiki/Arthur_Cronin","Arthur Cronin"
"/wiki/Arthur_Cronin","A Cronin"
"/wiki/Charlie_Finlason","C Finlason"
"/wiki/Kurt_von_Wessely","Kurt von Wessely"
"/wiki/Theodore_Mavrogordato","Theodore Mavrogordato"
"/wiki/Norman_Brookes","Norman Brookes"
"/wiki/Alfred_Dunlop","Alfred Dunlop"
"/wiki/William_Clothier","W Clothier"
"/wiki/William_Clothier","William Clothier"
"/wiki/Beals_Wright","B Wright"
"/wiki/Beals_Wright","Beals Wright"
"/wiki/George_Hillyard_(tennis)","G Hillyard"
"/wiki/Norman_Brookes","N Brookes"
"/wiki/Lionel_Escombe","L Escombe"
"/wiki/Kenneth_Powell_(tennis)","Kenneth Powell"
"/wiki/Kenneth_Powell_(tennis)","K Powell"
"/wiki/Holcombe_Ward","Holcombe Ward"
"/wiki/Theodore_Mavrogordato","T Mavrogordato"
"/wiki/Erik_Larsen_(tennis)","Erik Larsen"
"/wiki/Wollmar_Bostr%C3%B6m","Wollmar Bostrom"
"/wiki/Harold_Kitson","Harold Kitson"
"/wiki/Raymond_D._Little","Raymond Little"
"/wiki/Arthur_Lowe_(tennis)","Arthur Lowe"
"/wiki/Sir_George_Thomas,_7th_Baronet","George Thomas"
"/wiki/Gordon_Lowe","G Lowe"
"/wiki/Gordon_Lowe","Gordon Lowe"
"/wiki/Raymond_D._Little","R Little"
"/wiki/Kreigh_Collins","Kreigh Collins"
"/wiki/Kreigh_Collins","K Collins"
"/wiki/Heinrich_Schomburgk","H Schomburgk"
"/wiki/Heinrich_Schomburgk","Heinrich Schomburgk"
"/wiki/Hugh_Comyn","Hugh Comyn"
"/wiki/Oscar_Kreuzer","Oscar Kreuzer"
"/wiki/Stanley_Doust","Stanley Doust"
"/wiki/Stanley_Doust","S Doust"
"/wiki/Robert_Powell_(tennis)","Robert Powell"
"/wiki/Robert_Powell_(tennis)","R Powell"
"/wiki/Xenophon_Kasdaglis","Xenophon Casdagli"
"/wiki/Xenophon_Kasdaglis","X Casdagli"
"/wiki/Reginald_Punnett","Reginald Punnett"
"/wiki/Karl_Behr","Karl Behr"
"/wiki/Karl_Behr","K Behr"
"/wiki/Arthur_Lowe_(tennis)","A Lowe"
"/wiki/Rolf_Kinzl","R Kinzl"
"/wiki/Oscar_Kreuzer","O Kreuzer"
"/wiki/Percival_Davson","Percival Davson"
"/wiki/Pierre_Verd%C3%A9-Delisle","Pierre VerdeDelisle"
"/wiki/Wylie_Grant","Wylie Grant"
"/wiki/Friedrich_Wilhelm_Rahe","Friedrich Rahe"
"/wiki/Friedrich_Wilhelm_Rahe","F Rahe"
"/wiki/%C3%89lie,_Count_de_Lastours","Elie de Lastours"
"/wiki/George_Caridia","C Caridia"
"/wiki/J._F._Foulkes","JF Foulkes"
"/wiki/John_Richardson_(tennis)","John Richardson"
"/wiki/John_Richardson_(tennis)","J Richardson"
"/wiki/Percival_Davson","P Davson"
"/wiki/Moritz_von_Bissing_(tennis)","Moritz von Bissing"
"/wiki/Otto_Froitzheim","Otto Froitzheim"
"/wiki/Sir_George_Thomas,_7th_Baronet","G Thomas"
"/wiki/Victor_Gauntlett_(tennis)","Victor Gauntlett"
"/wiki/Maurice_Germot","Maurice Germot"
"/wiki/Maurice_Germot","M Germot"
"/wiki/A._N._Other","AN Other"
"/wiki/Les_Poidevin","Les Poidevin"
"/wiki/R%C3%A9ginald_Storms","Reginald Storms"
"/wiki/Otto_Blom","Otto Blom"
"/wiki/James_Cecil_Parke","James Cecil Parke"
"/wiki/James_Cecil_Parke","JC Parke"
"/wiki/Ove_Frederiksen","Ove Frederiksen"
"/wiki/Ove_Frederiksen","O Frederiksen"
"/wiki/Leslie_Poidevin","Leslie Poidevin"
"/wiki/Leif_Rovsing","Leif Rovsing"
"/wiki/J%C3%B8rgen_Arenholt","Jorgen Arenholt"
"/wiki/John_Ganzoni,_1st_Baron_Belstead","John Ganzoni"
"/wiki/Otto_Froitzheim","O Froitzheim"
"/wiki/Athar-Ali_Fyzee","AtharAli Fyzee"
"/wiki/Hassan_Ali_Fyzee","Hassan Ali Fyzee"
"/wiki/Hassan_Ali_Fyzee","HA Fyzee"
"/wiki/Otto_Blom","O Blom"
"/wiki/Andr%C3%A9_Gobert","Andre Gobert"
"/wiki/Eric_Pockley","Eric Pockley"
"/wiki/Eric_Pockley","E Pockley"
"/wiki/Rodney_Heath","Rodney Heath"
"/wiki/Max_Decugis","Max Decugis"
"/wiki/Rodney_Heath","R Heath"
"/wiki/Harold_Bache","Harold Bache"
"/wiki/Max_Decugis","M Decugis"
"/wiki/Andr%C3%A9_Gobert","A Gobert"
"/wiki/Georges_Gault","Georges Gault"
"/wiki/Christiaan_van_Lennep","Christiaan van Lennep"
"/wiki/Kenneth_Powell_(tennis)","KennethPowell"
"/wiki/Hope_Crisp","Hope Crisp"
"/wiki/Heinrich_Kleinschroth","Heinrich Kleinschroth"
"/wiki/Friedrich-Wilhelm_Rahe","F Rahe"
"/wiki/Craig_Biddle","Craig Biddle"
"/wiki/James_Zimmermann","James Zimmermann"
"/wiki/William_Alfred_Ingram","Alfred Ingram"
"/wiki/William_Alfred_Ingram","A Ingram"
"/wiki/Neville_Willford","Neville Willford"
"/wiki/Moritz_von_Bissing_(tennis)","M von Bissing"
"/wiki/A._Wallis_Myers","A Wallis Myers"
"/wiki/Leonard_Lyle,_1st_Baron_Lyle_of_Westbourne","Leonard Lyle"
"/wiki/James_Zimmermann","J Zimmermann"
"/wiki/F%C3%A9lix_Poulin","Felix Poulin"
"/wiki/Maurice_McLoughlin","Maurice McLoughlin"
"/wiki/Henry_Mayes","Henry Mayes"
"/wiki/Craig_Biddle","C Biddle"
"/wiki/William_Alfred_Ingram","FF Roe"
"/wiki/Maurice_McLoughlin","M McLoughlin"
"/wiki/Edmund_Herring","Edmund Herring"
"/wiki/R._Norris_Williams","R Norris Williams"
"/wiki/R._Norris_Williams","RN Williams"
"/wiki/Wallace_F._Johnson","W Johnson"
"/wiki/Wallace_F._Johnson","Wallace Johnson"
"/wiki/Horace_Rice","Horace Rice"
"/wiki/Noel_Turnbull","Noel Turnbull"
"/wiki/Horace_Rice","H Rice"
"/wiki/Ernest_Hicks","Ernest Hicks"
"/wiki/Ernest_Hicks","E Hicks"
"/wiki/Bernie_Schwengers","Bernie Schwengers"
"/wiki/Bernie_Schwengers","B Schwengers"
"/wiki/Neville_Willford","N Willford"
"/wiki/Victor_Gauntlett_(tennis)","V Gauntlett"
"/wiki/Ludwig_von_Salm-Hoogstraeten","Ludwig von SalmHoogstraeten"
"/wiki/Ludwig_von_Salm-Hoogstraeten","L von SalmHoogstraeten"
"/wiki/Erik_Larsen_(tennis)","E Larsen"
"/wiki/Hope_Crisp","H Crisp"
"/wiki/Sydney_Jacob","Sydney Jacob"
"/wiki/Luis_Maria_Heyden","Luis Maria Heyden"
"/wiki/Alfred_Dunlop","A Dunlop"
"/wiki/Luis_Maria_Heyden","LM Heyden"
"/wiki/Humphrey_Sumner_Milford","Humphrey Milford"
"/wiki/Humphrey_Sumner_Milford","H Milford"
"/wiki/Arthur_Ferdinand_Yencken","Arthur Yencken"
"/wiki/Algernon_Kingscote","Algernon Kingscote"
"/wiki/Algernon_Kingscote","A Kingscote"
"/wiki/Robert_Spiess","Robert Spiess"
"/wiki/Leonard_Lyle,_1st_Baron_Lyle_of_Westbourne","L Lyle"
"/wiki/Ernest_Pooley","Ernest Pooley"
"/wiki/Ernest_Pooley","E Pooley"
"/wiki/Gerald_Patterson","Gerald Patterson"
"/wiki/Pat_O%27Hara_Wood","Pat OHara Wood"
"/wiki/Chuck_Garland","Chuck Garland"
"/wiki/Ronald_Thomas_(tennis)","Ronald Thomas"
"/wiki/Louis_Raymond_(tennis)","Louis Raymond"
"/wiki/Dean_Mathey","D Mathey"
"/wiki/Louis_Raymond_(tennis)","L Raymond"
"/wiki/Dean_Mathey","Dean Mathey"
