"links","title","tournament","year","event"
"/wiki/1929_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1929 Wimbledon Championships – Men's Singles","Wimbledon","1929","Men"
"/wiki/1929_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1929 U.S. National Championships – Men's Singles","US Open","1929","Men"
"/wiki/1930_Australian_Championships_%E2%80%93_Men%27s_Singles","1930 Australian Championships – Men's Singles","Australian Open","1930","Men"
"/wiki/1930_French_Championships_%E2%80%93_Men%27s_Singles","1930 French Championships – Men's Singles","French Open","1930","Men"
"/wiki/1930_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1930 Wimbledon Championships – Men's Singles","Wimbledon","1930","Men"
"/wiki/1930_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1930 U.S. National Championships – Men's Singles","US Open","1930","Men"
"/wiki/1931_Australian_Championships_%E2%80%93_Men%27s_Singles","1931 Australian Championships – Men's Singles","Australian Open","1931","Men"
"/wiki/1931_French_Championships_%E2%80%93_Men%27s_Singles","1931 French Championships – Men's Singles","French Open","1931","Men"
"/wiki/1931_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1931 Wimbledon Championships – Men's Singles","Wimbledon","1931","Men"
"/wiki/1931_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1931 U.S. National Championships – Men's Singles","US Open","1931","Men"
"/wiki/1932_Australian_Championships_%E2%80%93_Men%27s_Singles","1932 Australian Championships – Men's Singles","Australian Open","1932","Men"
"/wiki/1932_French_Championships_%E2%80%93_Men%27s_Singles","1932 French Championships – Men's Singles","French Open","1932","Men"
"/wiki/1932_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1932 Wimbledon Championships – Men's Singles","Wimbledon","1932","Men"
"/wiki/1932_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1932 U.S. National Championships – Men's Singles","US Open","1932","Men"
"/wiki/1933_Australian_Championships_%E2%80%93_Men%27s_Singles","1933 Australian Championships – Men's Singles","Australian Open","1933","Men"
"/wiki/1933_French_Championships_%E2%80%93_Men%27s_Singles","1933 French Championships – Men's Singles","French Open","1933","Men"
"/wiki/1933_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1933 Wimbledon Championships – Men's Singles","Wimbledon","1933","Men"
"/wiki/1933_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1933 U.S. National Championships – Men's Singles","US Open","1933","Men"
"/wiki/1934_Australian_Championships_%E2%80%93_Men%27s_Singles","1934 Australian Championships – Men's Singles","Australian Open","1934","Men"
"/wiki/1934_French_Championships_%E2%80%93_Men%27s_Singles","1934 French Championships – Men's Singles","French Open","1934","Men"
"/wiki/1934_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1934 Wimbledon Championships – Men's Singles","Wimbledon","1934","Men"
"/wiki/1934_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1934 U.S. National Championships – Men's Singles","US Open","1934","Men"
"/wiki/1935_Australian_Championships_%E2%80%93_Men%27s_Singles","1935 Australian Championships – Men's Singles","Australian Open","1935","Men"
"/wiki/1935_French_Championships_%E2%80%93_Men%27s_Singles","1935 French Championships – Men's Singles","French Open","1935","Men"
"/wiki/1935_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1935 Wimbledon Championships – Men's Singles","Wimbledon","1935","Men"
"/wiki/1935_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1935 U.S. National Championships – Men's Singles","US Open","1935","Men"
"/wiki/1936_Australian_Championships_%E2%80%93_Men%27s_Singles","1936 Australian Championships – Men's Singles","Australian Open","1936","Men"
