"links","title","tournament","year","event"
"/wiki/2010_French_Open_%E2%80%93_Men%27s_Singles","2010 French Open – Men's Singles","French Open","2010","Men"
"/wiki/2010_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","2010 Wimbledon Championships – Men's Singles","Wimbledon","2010","Men"
"/wiki/2010_US_Open_%E2%80%93_Men%27s_Singles","2010 US Open – Men's Singles","US Open","2010","Men"
"/wiki/2011_Australian_Open_%E2%80%93_Men%27s_Singles","2011 Australian Open – Men's Singles","Australian Open","2011","Men"
"/wiki/2011_French_Open_%E2%80%93_Men%27s_Singles","2011 French Open – Men's Singles","French Open","2011","Men"
"/wiki/2011_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","2011 Wimbledon Championships – Men's Singles","Wimbledon","2011","Men"
"/wiki/2011_US_Open_%E2%80%93_Men%27s_Singles","2011 US Open – Men's Singles","US Open","2011","Men"
"/wiki/2012_Australian_Open_%E2%80%93_Men%27s_Singles","2012 Australian Open – Men's Singles","Australian Open","2012","Men"
"/wiki/2012_French_Open_%E2%80%93_Men%27s_Singles","2012 French Open – Men's Singles","French Open","2012","Men"
"/wiki/2012_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","2012 Wimbledon Championships – Men's Singles","Wimbledon","2012","Men"
"/wiki/2012_US_Open_%E2%80%93_Men%27s_Singles","2012 US Open – Men's Singles","US Open","2012","Men"
"/wiki/2013_Australian_Open_%E2%80%93_Men%27s_Singles","2013 Australian Open – Men's Singles","Australian Open","2013","Men"
"/wiki/2013_French_Open_%E2%80%93_Men%27s_Singles","2013 French Open – Men's Singles","French Open","2013","Men"
"/wiki/2013_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","2013 Wimbledon Championships – Men's Singles","Wimbledon","2013","Men"
"/wiki/2013_US_Open_%E2%80%93_Men%27s_Singles","2013 US Open – Men's Singles","US Open","2013","Men"
"/wiki/2014_Australian_Open_%E2%80%93_Men%27s_Singles","2014 Australian Open – Men's Singles","Australian Open","2014","Men"
"/wiki/2014_French_Open_%E2%80%93_Men%27s_Singles","2014 French Open – Men's Singles","French Open","2014","Men"
"/wiki/2014_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","2014 Wimbledon Championships – Men's Singles","Wimbledon","2014","Men"
"/wiki/2014_US_Open_%E2%80%93_Men%27s_Singles","2014 US Open – Men's Singles","US Open","2014","Men"
"/wiki/2015_Australian_Open_%E2%80%93_Men%27s_Singles","2015 Australian Open – Men's Singles","Australian Open","2015","Men"
"/wiki/2015_French_Open_%E2%80%93_Men%27s_Singles","2015 French Open – Men's Singles","French Open","2015","Men"
"/wiki/2015_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","2015 Wimbledon Championships – Men's Singles","Wimbledon","2015","Men"
"/wiki/2015_US_Open_%E2%80%93_Men%27s_Singles","2015 US Open – Men's Singles","US Open","2015","Men"
"/wiki/2016_Australian_Open_%E2%80%93_Men%27s_Singles","2016 Australian Open – Men's Singles","Australian Open","2016","Men"
"/wiki/2016_French_Open_%E2%80%93_Men%27s_Singles","2016 French Open – Men's Singles","French Open","2016","Men"
"/wiki/2016_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","2016 Wimbledon Championships – Men's Singles","Wimbledon","2016","Men"
"/wiki/2016_US_Open_%E2%80%93_Men%27s_Singles","2016 US Open – Men's Singles","US Open","2016","Men"
"/wiki/2017_Australian_Open_%E2%80%93_Men%27s_Singles","2017 Australian Open – Men's Singles","Australian Open","2017","Men"
"/wiki/2017_French_Open_%E2%80%93_Men%27s_Singles","2017 French Open – Men's Singles","French Open","2017","Men"
"/wiki/2017_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","2017 Wimbledon Championships – Men's Singles","Wimbledon","2017","Men"
"/wiki/2017_US_Open_%E2%80%93_Men%27s_Singles","2017 US Open – Men's Singles","US Open","2017","Men"
"/wiki/2018_Australian_Open_%E2%80%93_Men%27s_Singles","2018 Australian Open - Men's Singles","Australian Open","2018","Men"
"/wiki/2018_French_Open_%E2%80%93_Men%27s_Singles","2018 French Open - Men's Singles","French Open","2018","Men"
"/wiki/2018_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","2018 Wimbledon Championships - Men's Singles","Wimbledon","2018","Men"
"/wiki/2018_US_Open_%E2%80%93_Men%27s_Singles","2018 US Open - Men's Singles","US Open","2018","Men"
"/wiki/2019_Australian_Open_%E2%80%93_Men%27s_Singles","2019 Australian Open - Men's Singles","Australian Open","2019","Men"
"/wiki/2019_French_Open_%E2%80%93_Men%27s_Singles","2019 French Open - Men's Singles","French Open","2019","Men"
"/wiki/2019_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","2019 Wimbledon Championships - Men's Singles","Wimbledon","2019","Men"
"/wiki/2019_US_Open_%E2%80%93_Men%27s_Singles","2019 US Open - Men's Singles","US Open","2019","Men"
"/wiki/2020_Australian_Open_%E2%80%93_Men%27s_Singles","2020 Australian Open - Men's Singles","Australian Open","2020","Men"
"/wiki/1884_Wimbledon_Championships_%E2%80%93_Ladies%27_Singles","1884 Wimbledon Championships – Ladies' Singles","Wimbledon","1884","Women"
"/wiki/1885_Wimbledon_Championships_%E2%80%93_Ladies%27_Singles","1885 Wimbledon Championships – Ladies' Singles","Wimbledon","1885","Women"
"/wiki/1886_Wimbledon_Championships_%E2%80%93_Ladies%27_Singles","1886 Wimbledon Championships – Ladies' Singles","Wimbledon","1886","Women"
"/wiki/1887_Wimbledon_Championships_%E2%80%93_Ladies%27_Singles","1887 Wimbledon Championships – Ladies' Singles","Wimbledon","1887","Women"
"/wiki/1887_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1887 U.S. National Championships – Women's Singles","US Open","1887","Women"
"/wiki/1888_Wimbledon_Championships_%E2%80%93_Ladies%27_Singles","1888 Wimbledon Championships – Ladies' Singles","Wimbledon","1888","Women"
"/wiki/1888_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1888 U.S. National Championships – Women's Singles","US Open","1888","Women"
"/wiki/1889_Wimbledon_Championships_%E2%80%93_Ladies%27_Singles","1889 Wimbledon Championships – Ladies' Singles","Wimbledon","1889","Women"
"/wiki/1889_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1889 U.S. National Championships – Women's Singles","US Open","1889","Women"
"/wiki/1890_Wimbledon_Championships_%E2%80%93_Ladies%27_Singles","1890 Wimbledon Championships – Ladies' Singles","Wimbledon","1890","Women"
"/wiki/1890_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1890 U.S. National Championships – Women's Singles","US Open","1890","Women"
"/wiki/1891_Wimbledon_Championships_%E2%80%93_Ladies%27_Singles","1891 Wimbledon Championships – Ladies' Singles","Wimbledon","1891","Women"
"/wiki/1891_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1891 U.S. National Championships – Women's Singles","US Open","1891","Women"
"/wiki/1892_Wimbledon_Championships_%E2%80%93_Ladies%27_Singles","1892 Wimbledon Championships – Ladies' Singles","Wimbledon","1892","Women"
"/wiki/1892_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1892 U.S. National Championships – Women's Singles","US Open","1892","Women"
"/wiki/1893_Wimbledon_Championships_%E2%80%93_Ladies%27_Singles","1893 Wimbledon Championships – Ladies' Singles","Wimbledon","1893","Women"
"/wiki/1893_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1893 U.S. National Championships – Women's Singles","US Open","1893","Women"
"/wiki/1894_Wimbledon_Championships_%E2%80%93_Ladies%27_Singles","1894 Wimbledon Championships – Ladies' Singles","Wimbledon","1894","Women"
"/wiki/1894_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1894 U.S. National Championships – Women's Singles","US Open","1894","Women"
"/wiki/1895_Wimbledon_Championships_%E2%80%93_Ladies%27_Singles","1895 Wimbledon Championships – Ladies' Singles","Wimbledon","1895","Women"
"/wiki/1895_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1895 U.S. National Championships – Women's Singles","US Open","1895","Women"
"/wiki/1896_Wimbledon_Championships_%E2%80%93_Ladies%27_Singles","1896 Wimbledon Championships – Ladies' Singles","Wimbledon","1896","Women"
"/wiki/1896_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1896 U.S. National Championships – Women's Singles","US Open","1896","Women"
"/wiki/1897_Wimbledon_Championships_%E2%80%93_Ladies%27_Singles","1897 Wimbledon Championships – Ladies' Singles","Wimbledon","1897","Women"
"/wiki/1897_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1897 U.S. National Championships – Women's Singles","US Open","1897","Women"
"/wiki/1898_Wimbledon_Championships_%E2%80%93_Ladies%27_Singles","1898 Wimbledon Championships – Ladies' Singles","Wimbledon","1898","Women"
"/wiki/1898_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1898 U.S. National Championships – Women's Singles","US Open","1898","Women"
"/wiki/1899_Wimbledon_Championships_%E2%80%93_Ladies%27_Singles","1899 Wimbledon Championships – Ladies' Singles","Wimbledon","1899","Women"
"/wiki/1899_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1899 U.S. National Championships – Women's Singles","US Open","1899","Women"
"/wiki/1900_Wimbledon_Championships_%E2%80%93_Ladies%27_Singles","1900 Wimbledon Championships – Ladies' Singles","Wimbledon","1900","Women"
"/wiki/1900_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1900 U.S. National Championships – Women's Singles","US Open","1900","Women"
"/wiki/1901_Wimbledon_Championships_%E2%80%93_Ladies%27_Singles","1901 Wimbledon Championships – Ladies' Singles","Wimbledon","1901","Women"
"/wiki/1901_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1901 U.S. National Championships – Women's Singles","US Open","1901","Women"
"/wiki/1902_Wimbledon_Championships_%E2%80%93_Ladies%27_Singles","1902 Wimbledon Championships – Ladies' Singles","Wimbledon","1902","Women"
"/wiki/1902_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1902 U.S. National Championships – Women's Singles","US Open","1902","Women"
"/wiki/1903_Wimbledon_Championships_%E2%80%93_Ladies%27_Singles","1903 Wimbledon Championships – Ladies' Singles","Wimbledon","1903","Women"
"/wiki/1903_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1903 U.S. National Championships – Women's Singles","US Open","1903","Women"
"/wiki/1904_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1904 Wimbledon Championships – Women's Singles","Wimbledon","1904","Women"
"/wiki/1904_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1904 U.S. National Championships – Women's Singles","US Open","1904","Women"
"/wiki/1905_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1905 Wimbledon Championships – Women's Singles","Wimbledon","1905","Women"
"/wiki/1905_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1905 U.S. National Championships – Women's Singles","US Open","1905","Women"
"/wiki/1906_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1906 Wimbledon Championships – Women's Singles","Wimbledon","1906","Women"
"/wiki/1906_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1906 U.S. National Championships – Women's Singles","US Open","1906","Women"
"/wiki/1907_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1907 Wimbledon Championships – Women's Singles","Wimbledon","1907","Women"
"/wiki/1907_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1907 U.S. National Championships – Women's Singles","US Open","1907","Women"
"/wiki/1908_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1908 Wimbledon Championships – Women's Singles","Wimbledon","1908","Women"
"/wiki/1908_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1908 U.S. National Championships – Women's Singles","US Open","1908","Women"
"/wiki/1909_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1909 Wimbledon Championships – Women's Singles","Wimbledon","1909","Women"
"/wiki/1909_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1909 U.S. National Championships – Women's Singles","US Open","1909","Women"
"/wiki/1910_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1910 Wimbledon Championships – Women's Singles","Wimbledon","1910","Women"
"/wiki/1910_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1910 U.S. National Championships – Women's Singles","US Open","1910","Women"
"/wiki/1911_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1911 Wimbledon Championships – Women's Singles","Wimbledon","1911","Women"
"/wiki/1911_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1911 U.S. National Championships – Women's Singles","US Open","1911","Women"
"/wiki/1912_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1912 Wimbledon Championships – Women's Singles","Wimbledon","1912","Women"
"/wiki/1912_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1912 U.S. National Championships – Women's Singles","US Open","1912","Women"
"/wiki/1913_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1913 Wimbledon Championships – Women's Singles","Wimbledon","1913","Women"
"/wiki/1913_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1913 U.S. National Championships – Women's Singles","US Open","1913","Women"
"/wiki/1914_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1914 Wimbledon Championships – Women's Singles","Wimbledon","1914","Women"
"/wiki/1914_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1914 U.S. National Championships – Women's Singles","US Open","1914","Women"
"/wiki/1915_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1915 U.S. National Championships – Women's Singles","US Open","1915","Women"
"/wiki/1916_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1916 U.S. National Championships – Women's Singles","US Open","1916","Women"
"/wiki/1917_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1917 U.S. National Championships – Women's Singles","US Open","1917","Women"
"/wiki/1918_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1918 U.S. National Championships – Women's Singles","US Open","1918","Women"
"/wiki/1919_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1919 Wimbledon Championships – Women's Singles","Wimbledon","1919","Women"
"/wiki/1919_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1919 U.S. National Championships – Women's Singles","US Open","1919","Women"
"/wiki/1920_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1920 Wimbledon Championships – Women's Singles","Wimbledon","1920","Women"
"/wiki/1920_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1920 U.S. National Championships – Women's Singles","US Open","1920","Women"
"/wiki/1921_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1921 Wimbledon Championships – Women's Singles","Wimbledon","1921","Women"
"/wiki/1921_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1921 U.S. National Championships – Women's Singles","US Open","1921","Women"
"/wiki/1922_Australasian_Championships_%E2%80%93_Women%27s_Singles","1922 Australasian Championships - Women's Singles","Australian Open","1922","Women"
"/wiki/1922_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1922 Wimbledon Championships – Women's Singles","Wimbledon","1922","Women"
"/wiki/1922_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1922 U.S. National Championships – Women's Singles","US Open","1922","Women"
"/wiki/1923_Australasian_Championships_%E2%80%93_Women%27s_Singles","1923 Australasian Championships - Women's Singles","Australian Open","1923","Women"
"/wiki/1923_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1923 Wimbledon Championships – Women's Singles","Wimbledon","1923","Women"
"/wiki/1923_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1923 U.S. National Championships – Women's Singles","US Open","1923","Women"
"/wiki/1924_Australasian_Championships_%E2%80%93_Women%27s_Singles","1924 Australasian Championships - Women's Singles","Australian Open","1924","Women"
"/wiki/1924_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1924 Wimbledon Championships – Women's Singles","Wimbledon","1924","Women"
"/wiki/1924_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1924 U.S. National Championships – Women's Singles","US Open","1924","Women"
"/wiki/1925_Australasian_Championships_%E2%80%93_Women%27s_Singles","1925 Australasian Championships - Women's Singles","Australian Open","1925","Women"
"/wiki/1925_French_Championships_%E2%80%93_Women%27s_Singles","1925 French Championships – Women's Singles","French Open","1925","Women"
"/wiki/1925_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1925 Wimbledon Championships – Women's Singles","Wimbledon","1925","Women"
"/wiki/1925_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1925 U.S. National Championships – Women's Singles","US Open","1925","Women"
"/wiki/1926_Australasian_Championships_%E2%80%93_Women%27s_Singles","1926 Australasian Championships - Women's Singles","Australian Open","1926","Women"
"/wiki/1926_French_Championships_%E2%80%93_Women%27s_Singles","1926 French Championships – Women's Singles","French Open","1926","Women"
"/wiki/1926_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1926 Wimbledon Championships – Women's Singles","Wimbledon","1926","Women"
"/wiki/1926_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1926 U.S. National Championships – Women's Singles","US Open","1926","Women"
"/wiki/1927_Australian_Championships_%E2%80%93_Women%27s_Singles","1927 Australian Championships – Women's Singles","Australian Open","1927","Women"
"/wiki/1927_French_Championships_%E2%80%93_Women%27s_Singles","1927 French Championships – Women's Singles","French Open","1927","Women"
"/wiki/1927_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1927 Wimbledon Championships – Women's Singles","Wimbledon","1927","Women"
"/wiki/1927_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1927 U.S. National Championships – Women's Singles","US Open","1927","Women"
"/wiki/1928_Australian_Championships_%E2%80%93_Women%27s_Singles","1928 Australian Championships – Women's Singles","Australian Open","1928","Women"
"/wiki/1928_French_Championships_%E2%80%93_Women%27s_Singles","1928 French Championships – Women's Singles","French Open","1928","Women"
"/wiki/1928_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1928 Wimbledon Championships – Women's Singles","Wimbledon","1928","Women"
"/wiki/1928_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1928 U.S. National Championships – Women's Singles","US Open","1928","Women"
"/wiki/1929_Australian_Championships_%E2%80%93_Women%27s_Singles","1929 Australian Championships – Women's Singles","Australian Open","1929","Women"
"/wiki/1929_French_Championships_%E2%80%93_Women%27s_Singles","1929 French Championships – Women's Singles","French Open","1929","Women"
"/wiki/1929_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1929 Wimbledon Championships – Women's Singles","Wimbledon","1929","Women"
"/wiki/1929_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1929 U.S. National Championships – Women's Singles","US Open","1929","Women"
"/wiki/1930_Australian_Championships_%E2%80%93_Women%27s_Singles","1930 Australian Championships – Women's Singles","Australian Open","1930","Women"
"/wiki/1930_French_Championships_%E2%80%93_Women%27s_Singles","1930 French Championships – Women's Singles","French Open","1930","Women"
"/wiki/1930_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1930 Wimbledon Championships – Women's Singles","Wimbledon","1930","Women"
"/wiki/1930_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1930 U.S. National Championships – Women's Singles","US Open","1930","Women"
"/wiki/1931_Australian_Championships_%E2%80%93_Women%27s_Singles","1931 Australian Championships – Women's Singles","Australian Open","1931","Women"
"/wiki/1931_French_Championships_%E2%80%93_Women%27s_Singles","1931 French Championships – Women's Singles","French Open","1931","Women"
"/wiki/1931_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1931 Wimbledon Championships – Women's Singles","Wimbledon","1931","Women"
"/wiki/1931_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1931 U.S. National Championships – Women's Singles","US Open","1931","Women"
"/wiki/1932_Australian_Championships_%E2%80%93_Women%27s_Singles","1932 Australian Championships – Women's Singles","Australian Open","1932","Women"
"/wiki/1932_French_Championships_%E2%80%93_Women%27s_Singles","1932 French Championships – Women's Singles","French Open","1932","Women"
"/wiki/1932_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1932 Wimbledon Championships – Women's Singles","Wimbledon","1932","Women"
"/wiki/1932_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1932 U.S. National Championships – Women's Singles","US Open","1932","Women"
"/wiki/1933_Australian_Championships_%E2%80%93_Women%27s_Singles","1933 Australian Championships – Women's Singles","Australian Open","1933","Women"
"/wiki/1933_French_Championships_%E2%80%93_Women%27s_Singles","1933 French Championships – Women's Singles","French Open","1933","Women"
"/wiki/1933_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1933 Wimbledon Championships – Women's Singles","Wimbledon","1933","Women"
"/wiki/1933_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1933 U.S. National Championships – Women's Singles","US Open","1933","Women"
"/wiki/1934_Australian_Championships_%E2%80%93_Women%27s_Singles","1934 Australian Championships – Women's Singles","Australian Open","1934","Women"
"/wiki/1934_French_Championships_%E2%80%93_Women%27s_Singles","1934 French Championships – Women's Singles","French Open","1934","Women"
"/wiki/1934_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1934 Wimbledon Championships – Women's Singles","Wimbledon","1934","Women"
"/wiki/1934_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1934 U.S. National Championships – Women's Singles","US Open","1934","Women"
"/wiki/1935_Australian_Championships_%E2%80%93_Women%27s_Singles","1935 Australian Championships – Women's Singles","Australian Open","1935","Women"
"/wiki/1935_French_Championships_%E2%80%93_Women%27s_Singles","1935 French Championships – Women's Singles","French Open","1935","Women"
"/wiki/1935_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1935 Wimbledon Championships – Women's Singles","Wimbledon","1935","Women"
"/wiki/1935_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1935 U.S. National Championships – Women's Singles","US Open","1935","Women"
"/wiki/1936_Australian_Championships_%E2%80%93_Women%27s_Singles","1936 Australian Championships – Women's Singles","Australian Open","1936","Women"
"/wiki/1936_French_Championships_%E2%80%93_Women%27s_Singles","1936 French Championships – Women's Singles","French Open","1936","Women"
"/wiki/1936_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1936 Wimbledon Championships – Women's Singles","Wimbledon","1936","Women"
"/wiki/1936_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1936 U.S. National Championships – Women's Singles","US Open","1936","Women"
"/wiki/1937_Australian_Championships_%E2%80%93_Women%27s_Singles","1937 Australian Championships – Women's Singles","Australian Open","1937","Women"
"/wiki/1937_French_Championships_%E2%80%93_Women%27s_Singles","1937 French Championships – Women's Singles","French Open","1937","Women"
"/wiki/1937_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1937 Wimbledon Championships – Women's Singles","Wimbledon","1937","Women"
"/wiki/1937_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1937 U.S. National Championships – Women's Singles","US Open","1937","Women"
"/wiki/1938_Australian_Championships_%E2%80%93_Women%27s_Singles","1938 Australian Championships – Women's Singles","Australian Open","1938","Women"
"/wiki/1938_French_Championships_%E2%80%93_Women%27s_Singles","1938 French Championships – Women's Singles","French Open","1938","Women"
"/wiki/1938_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1938 Wimbledon Championships – Women's Singles","Wimbledon","1938","Women"
"/wiki/1938_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1938 U.S. National Championships – Women's Singles","US Open","1938","Women"
"/wiki/1939_Australian_Championships_%E2%80%93_Women%27s_Singles","1939 Australian Championships – Women's Singles","Australian Open","1939","Women"
"/wiki/1939_French_Championships_%E2%80%93_Women%27s_Singles","1939 French Championships – Women's Singles","French Open","1939","Women"
"/wiki/1939_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1939 Wimbledon Championships – Women's Singles","Wimbledon","1939","Women"
"/wiki/1939_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1939 U.S. National Championships – Women's Singles","US Open","1939","Women"
"/wiki/1940_Australian_Championships_%E2%80%93_Women%27s_Singles","1940 Australian Championships – Women's Singles","Australian Open","1940","Women"
"/wiki/1940_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1940 U.S. National Championships – Women's Singles","US Open","1940","Women"
"/wiki/1941_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1941 U.S. National Championships – Women's Singles","US Open","1941","Women"
"/wiki/1942_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1942 U.S. National Championships – Women's Singles","US Open","1942","Women"
"/wiki/1943_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1943 U.S. National Championships – Women's Singles","US Open","1943","Women"
"/wiki/1944_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1944 U.S. National Championships – Women's Singles","US Open","1944","Women"
"/wiki/1945_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1945 U.S. National Championships – Women's Singles","US Open","1945","Women"
"/wiki/1946_Australian_Championships_%E2%80%93_Women%27s_Singles","1946 Australian Championships – Women's Singles","Australian Open","1946","Women"
"/wiki/1946_French_Championships_%E2%80%93_Women%27s_Singles","1946 French Championships – Women's Singles","French Open","1946","Women"
"/wiki/1946_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1946 Wimbledon Championships – Women's Singles","Wimbledon","1946","Women"
"/wiki/1946_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1946 U.S. National Championships – Women's Singles","US Open","1946","Women"
"/wiki/1947_Australian_Championships_%E2%80%93_Women%27s_Singles","1947 Australian Championships – Women's Singles","Australian Open","1947","Women"
"/wiki/1947_French_Championships_%E2%80%93_Women%27s_Singles","1947 French Championships – Women's Singles","French Open","1947","Women"
"/wiki/1947_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1947 Wimbledon Championships – Women's Singles","Wimbledon","1947","Women"
"/wiki/1947_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1947 U.S. National Championships – Women's Singles","US Open","1947","Women"
"/wiki/1948_Australian_Championships_%E2%80%93_Women%27s_Singles","1948 Australian Championships – Women's Singles","Australian Open","1948","Women"
"/wiki/1948_French_Championships_%E2%80%93_Women%27s_Singles","1948 French Championships – Women's Singles","French Open","1948","Women"
"/wiki/1948_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1948 Wimbledon Championships – Women's Singles","Wimbledon","1948","Women"
"/wiki/1948_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1948 U.S. National Championships – Women's Singles","US Open","1948","Women"
"/wiki/1949_Australian_Championships_%E2%80%93_Women%27s_Singles","1949 Australian Championships – Women's Singles","Australian Open","1949","Women"
"/wiki/1949_French_Championships_%E2%80%93_Women%27s_Singles","1949 French Championships – Women's Singles","French Open","1949","Women"
"/wiki/1949_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1949 Wimbledon Championships – Women's Singles","Wimbledon","1949","Women"
"/wiki/1949_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1949 U.S. National Championships – Women's Singles","US Open","1949","Women"
"/wiki/1950_Australian_Championships_%E2%80%93_Women%27s_Singles","1950 Australian Championships – Women's Singles","Australian Open","1950","Women"
"/wiki/1950_French_Championships_%E2%80%93_Women%27s_Singles","1950 French Championships – Women's Singles","French Open","1950","Women"
"/wiki/1950_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1950 Wimbledon Championships – Women's Singles","Wimbledon","1950","Women"
"/wiki/1950_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1950 U.S. National Championships – Women's Singles","US Open","1950","Women"
"/wiki/1951_Australian_Championships_%E2%80%93_Women%27s_Singles","1951 Australian Championships – Women's Singles","Australian Open","1951","Women"
"/wiki/1951_French_Championships_%E2%80%93_Women%27s_Singles","1951 French Championships – Women's Singles","French Open","1951","Women"
"/wiki/1951_Wimbledon_Championships_%E2%80%93_Women%27s_Singles","1951 Wimbledon Championships – Women's Singles","Wimbledon","1951","Women"
"/wiki/1951_U.S._National_Championships_%E2%80%93_Women%27s_Singles","1951 U.S. National Championships – Women's Singles","US Open","1951","Women"
